Relatório de ;Depósito por Banco ; Sintético
Entre ;01/12/2011 ;e 16/12/2011 23:59:00; tirado em ;16/12/2011 08:34:26
 Bradesco S.A.
Protocolo;Usuário;Agência;CC;Favorecido;Valor
#154874;operacion;;;;90.30
#154862;operacion;;;;77.54
#154886;operacion;;;;103.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154879;operacion;;;;73.20
#154578;operacion;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;diretoria;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
#154578;operacion;;;;51.34
;;;;Subtotal: ;1,884.58

 Itaú S.A.
Protocolo;Usuário;Agência;CC;Favorecido;Valor
#154883;operacion;;;;85.94
#154881;operacion;;;;85.94
#154859;operacion;;;;113.30
;;;;Subtotal;285.18

;;;;Total:;2,169.76

