0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             07052014                                                                                                                                                                                                                                                                                                                                                                                      000001
1029421011376COBR_CAUC_BIC  VOGES METALURGIA LT-EM REC.JUDICIAL     033284522000626HITACHI AR CONDICIONADO DO BRASIL       AV PAULISTA - CJ 71 - 7(O) ANDAR 854    SAO PAULO                               01310913SP4742600001001265250263813001  06052014007PAULISTA            3006201400000000010389302CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001502802067038720 00A  30042014046FLORIANOPOLIS       3007201400000000003467617CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001602802075038720 00B  30042014046FLORIANOPOLIS       0508201400000000003467617CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001702802083038720 00C  30042014046FLORIANOPOLIS       1308201400000000003467616CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001802802091038741 00A  30042014046FLORIANOPOLIS       3007201400000000003859035CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001902802105038741 00B  30042014046FLORIANOPOLIS       0508201400000000003859035CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002002802113038741 00C  30042014046FLORIANOPOLIS       1308201400000000003859036CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002102802121038785 00A  30042014046FLORIANOPOLIS       3007201400000000005494359CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002202802130038785 00B  30042014046FLORIANOPOLIS       0508201400000000005494359CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002302802148038785 00C  30042014046FLORIANOPOLIS       1308201400000000005494359CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002402802156038788 00A  30042014046FLORIANOPOLIS       3007201400000000005305339CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002502802172038788 00C  30042014046FLORIANOPOLIS       1308201400000000005305340CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002602802181038816 00A  30042014046FLORIANOPOLIS       3007201400000000005554719CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002702802199038816 00B  30042014046FLORIANOPOLIS       0508201400000000005554719CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480002802802202038816 00C  30042014046FLORIANOPOLIS       1308201400000000005554719CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
9000004                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000034
