0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             10112011                                                                                                                                                                                                                                                                                                                                                                                      000001
1014421018876DIR_CREDIT     ENGUIA GEN CE LTDA                      004172213000151CPFL PIRATININGA-CIA PIRATININGA DE F E CAMPINAS MOGI MIRIM KM 2, 1755/JDIM SANTCAMPINAS                                13088900SP3176700001                                                                                                                                          011635655           1003200800000122822096/2005-1604112011000403FORNECIMENTO DE ENERGIA.                                                                                                                                                                                                                        004735629000130              000002
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP3187900004011082432.689       30092011007PAULISTA            2012201100000000002511000CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP3187900005011098272.728       07102011007PAULISTA            1612201100000000001500400CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000001084924782054 A      01112011010RECIFE              2211201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000002084924862054 B      01112011010RECIFE              2911201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000003084924942054 C      01112011010RECIFE              0612201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000004084925082054 D      01112011010RECIFE              1312201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100001084923202052 C      31102011003CENTRO              0512201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100002084923382052 B      31102011003CENTRO              2811201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100003084923462052 A      31102011003CENTRO              2111201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100004084924272052 D      31102011003CENTRO              1212201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200001084815812016 A      21102011009BRASILIA            1111201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200002084815902016 B      21102011009BRASILIA            1811201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200003084816032016 C      21102011009BRASILIA            2511201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200004084816112016 D      21102011009BRASILIA            0212201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200005084816202016 E      21102011009BRASILIA            0912201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300001084923111237 A      31102011800UNIBANCO S/A        2811201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300002084923542053 D      31102011800UNIBANCO S/A        1912201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300003084923622053 C      31102011800UNIBANCO S/A        1212201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300004084923712053 B      31102011800UNIBANCO S/A        0512201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300005084923892053 A      31102011800UNIBANCO S/A        2811201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300006084923971237 D      31102011800UNIBANCO S/A        1912201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                                         000040
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300007084924011237 C      31102011800UNIBANCO S/A        1212201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                                         000041
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300008084924191237 B      31102011800UNIBANCO S/A        0512201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                                         000042
9000015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000043
