0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    20092010                                                                                                                                                                                                                                                                                                                                                                                                000001
1016421006424COBR_CAUC_BIC  BOUTIN FERTILIZANTES LTDA               077353662000170PLANT BEM FERTILIZANTES                 ROD.PR 317 S/N KM 04,4                  MARINGA                                 87065000PR242170000102872810114417      15092010016CURITIBA            3012201000000000030000000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-1      000002
1047421000534COBR_CAUC_BIC  INDUSTRIA QUIMICA KIMBERLIT LTDA        018868117000157PARANAIBA FERTILIZANTES IND.E COM.      AVENIDA AIRTON BORGE1129                Uberlândia                              38402100MG242180000100303336003533/03   08092010028UBERLANDIA          2512201000000000030827617CC                                                                                                                                                                                                                                                                                                                                                                                           111628-2      000003
1007421024386COBR_CAUC_BIC  TRES EDITORIAL LTDA                     001098905000109CAMARGO CORREA S/A                      RUA FUNCHAL ,160                        SAO PAULO                               04551903SP242190000100101582020455-A    15092010007PAULISTA            3011201000000000040000000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-3      000004
1022421000024COBR_CAUC_COR  BON MART FRIGORIFICO LTDA               011131875000220MICHI FOODS - PROD COM DIST IMP E       RUA LUIZ ALLIFAYRDIN 525                SAO PAULO                               05428000SP242200000100161593129472-1    15092010900BRADESCO S/A        2009201000000000012952551CC                                                                                                                                                                                                                                                                                                                                                                                           111628-4      000005
1007421040063COBR_CAUC_BIC  TUBERFIL IND. E COM. DE TUBOS LTDA      061955761000191PW HIDROPNEUMATICA LTDA                 ANTONIO BARNABE 652                     INDAIATUBA                              13347340SP242210000100101663019655001   16092010021CAMPINAS            1610201000000000021805255CC                                                                                                                                                                                                                                                                                                                                                                                           111628-5      000006
1007421040063COBR_CAUC_BIC  TUBERFIL IND. E COM. DE TUBOS LTDA      061955761000191PW HIDROPNEUMATICA LTDA                 ANTONIO BARNABE 652                     INDAIATUBA                              13347340SP242210000200101671019655002   16092010021CAMPINAS            1511201000000000021805255CC                                                                                                                                                                                                                                                                                                                                                                                           111628-6      000007
1007421040063COBR_CAUC_BIC  TUBERFIL IND. E COM. DE TUBOS LTDA      061955761000191PW HIDROPNEUMATICA LTDA                 ANTONIO BARNABE 652                     INDAIATUBA                              13347340SP242210000300101680019655003   16092010021CAMPINAS            1512201000000000021805255CC                                                                                                                                                                                                                                                                                                                                                                                           111628-7      000008
1007421040063COBR_CAUC_BIC  TUBERFIL IND. E COM. DE TUBOS LTDA      061955761000191PW HIDROPNEUMATICA LTDA                 ANTONIO BARNABE 652                     INDAIATUBA                              13347340SP242210000400101698019655004   16092010021CAMPINAS            1401201100000000021805255CC                                                                                                                                                                                                                                                                                                                                                                                           111628-8      000009
1018421017760COBR_CAUC_COR  RURAL RIO PRODUTOS AGRICOLAS LTDA       000082863679104CRISTIANO CRUVINEL FERNANDES            RUA RUI BARBOSA,1052                    RIO VERDE                               75901250GO2422200001000005511295        15092010900BRADESCO S/A        2812201000000000016565823CC                                                                                                                                                                                                                                                                                                                                                                                           111628-9      000010
1019421009242DIR_CREDIT     RAL ENGENHARIA LTDA                     018715409000150PM DE SANTA LUZIA                       AV VIII, 50 BAIRRO CARREIRA COMPRIDA    SANTA LUZIA                             31000000MG2424800001                                                                                                                                          481009940           07082009000001249100108/2009  01042010000404contratação de empresa do ramo de engenharia civil para a execução dos serviços de pavimentação e manutenção de vias públicas.                                                                                                                  001182232000170111628-10     000011
