0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    20092010                                                                                                                                                                                                                                                                                                                                                                                                000001
1019421009242DIR_CREDIT     RAL ENGENHARIA LTDA                     018715409000150PM DE SANTA LUZIA                       AV VIII, 50 BAIRRO CARREIRA COMPRIDA    SANTA LUZIA                             31000000MG2424900001                                                                                                                                          481010085           07082009000001249100108/2009  20042010000404contratação de empresa do ramo de engenharia civil para a execução dos serviços de pavimentação e manutenção de vias públicas.                                                                                                                  001182232000170111628-11     000012
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000070813922887LUIZ ANTONIO PIOVESAN                   RUA DOUTOR OLIMPIO DE MACEDO,,430       PATROCINIO                              38740000MG24250000010256600700871       21102009600HSBC BANK BRASIL    0301201100000000004258700CC                                                                                                                                                                                                                                                                                                                                                                                           111628-12     000013
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000070813922887LUIZ ANTONIO PIOVESAN                   RUA DOUTOR OLIMPIO DE MACEDO,,430       PATROCINIO                              38740000MG242500000202566015001319      09112009600HSBC BANK BRASIL    0301201100000000003064500CC                                                                                                                                                                                                                                                                                                                                                                                           111628-13     000014
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000068071353604FERNANDO COUTO CAVICHIOLI               RUA JOSE DE OLIVEIRA, ,264              MONTE CARMELO                           38500000MG24251000010256582500966       23102009900BRADESCO S/A        3011201000000000003771000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-14     000015
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000068071353604FERNANDO COUTO CAVICHIOLI               RUA JOSE DE OLIVEIRA, ,264              MONTE CARMELO                           38500000MG242510000202566180000200      15092009900BRADESCO S/A        3011201000000000003834900CC                                                                                                                                                                                                                                                                                                                                                                                           111628-15     000016
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000032345690615GALILEU CARDOSO NAVES                   RUA MATUZALEM DE FREITAS CARDO,155      MONTE CARMELO                           38500000MG242520000102565566001185      03112009900BRADESCO S/A        3011201000000000003045000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-16     000017
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000032345690615GALILEU CARDOSO NAVES                   RUA MATUZALEM DE FREITAS CARDO,155      MONTE CARMELO                           38500000MG242520000202565710000814      16102009900BRADESCO S/A        3011201000000000004810000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-17     000018
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000039417867687JOAQUIM DE ARAUJO PENA                  RUA JOAQUIM PINTO,,591                  MONTE CARMELO                           38500000MG2425300001025658760010137     03082009900BRADESCO S/A        0301201100000000005725200CC                                                                                                                                                                                                                                                                                                                                                                                           111628-18     000019
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000039417867687JOAQUIM DE ARAUJO PENA                  RUA JOAQUIM PINTO,,591                  MONTE CARMELO                           38500000MG242530000202566147000940      23102009900BRADESCO S/A        0301201100000000002442600CC                                                                                                                                                                                                                                                                                                                                                                                           111628-19     000020
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000005443040804TAIHEI KOROGI                           R.CEL.RAIM.RODRIGUES DA COSTA ,80       MONTE CARMELO                           38500000MG242540000102565736000999      26102009900BRADESCO S/A        0301201100000000004351000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-20     000021
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000005443040804TAIHEI KOROGI                           R.CEL.RAIM.RODRIGUES DA COSTA ,80       MONTE CARMELO                           38500000MG242540000202565744000875      21102009900BRADESCO S/A        0301201100000000004236500CC                                                                                                                                                                                                                                                                                                                                                                                           111628-21     000022
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000000466263600EDUARDO CARDOSO MONTEIRO                AV HENGENHEIRO HELADIO SIMOES,415       MONTE CARMELO                           38500000MG24255000010256584100930       22102009900BRADESCO S/A        3011201000000000009565250CC                                                                                                                                                                                                                                                                                                                                                                                           111628-22     000023
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000049833197604EDUARDOPARANHOS CARDOSO                 PCA TANCREDO NEVES,,297                 MONTE CARMELO                           38500000MG24256000010256583300663       09102009900BRADESCO S/A        3011201000000000009584500CC                                                                                                                                                                                                                                                                                                                                                                                           111628-23     000024
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000049833197604EDUARDOPARANHOS CARDOSO                 PCA TANCREDO NEVES,,297                 MONTE CARMELO                           38500000MG242560000202566198000512      01102009900BRADESCO S/A        0301201100000000001520400CC                                                                                                                                                                                                                                                                                                                                                                                           111628-24     000025
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000005757606991JORGE KOBIRAKI                          AV ENG HELADIO SIMOES, ,595             MONTE CARMELO                           38500000MG242570000102565957000743      14102009900BRADESCO S/A        0301201100000000004351000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-25     000026
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000005757606991JORGE KOBIRAKI                          AV ENG HELADIO SIMOES, ,595             MONTE CARMELO                           38500000MG242570000202565965000779      16102009900BRADESCO S/A        0301201100000000004351000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-26     000027
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000005757606991JORGE KOBIRAKI                          AV ENG HELADIO SIMOES, ,595             MONTE CARMELO                           38500000MG242570000302566121001638      19112009900BRADESCO S/A        3011201000000000004302000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-27     000028
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000025820575920MASSATO HATSUIA                         RUA RIO DE JANEIRO,719                  UBERABA                                 38050150MG242580000102565612000936      22102009600HSBC BANK BRASIL    3011201000000000007076000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-28     000029
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000025820575920MASSATO HATSUIA                         RUA RIO DE JANEIRO,719                  UBERABA                                 38050150MG242580000202566210001405      11112009600HSBC BANK BRASIL    3011201000000000006688000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-29     000030
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000003751031634MARLUZ CARDOSO NAVES                    RUA ESTRELA DO SUL ,69                  MONTE CARMELO                           38500000MG242590000102565621001902      27112009900BRADESCO S/A        3011201000000000005513125CC                                                                                                                                                                                                                                                                                                                                                                                           111628-30     000031
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000003751031634MARLUZ CARDOSO NAVES                    RUA ESTRELA DO SUL ,69                  MONTE CARMELO                           38500000MG242590000202565639000665      09102009900BRADESCO S/A        3011201000000000008869000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-31     000032
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000004432461810LAUDEMIR ANGELO VAL                     RUA SAO PAULO,1695                      MONTE CARMELO                           38500000MG242600000102565914000208      15092009900BRADESCO S/A        3011201000000000008857000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-32     000033
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000004432461810LAUDEMIR ANGELO VAL                     RUA SAO PAULO,1695                      MONTE CARMELO                           38500000MG242600000202565922001340      10112009900BRADESCO S/A        0301201100000000005940000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-33     000034
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000004432461810LAUDEMIR ANGELO VAL                     RUA SAO PAULO,1695                      MONTE CARMELO                           38500000MG242600000302566112001189      04112009900BRADESCO S/A        0301201100000000002970000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-34     000035
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000000466271620MUCIO CARDOSO MONTEIRO                  AV JOAO PINHEIRO,271                    MONTE CARMELO                           38500000MG242610000102565655000632      08102009900BRADESCO S/A        3011201000000000021981600CC                                                                                                                                                                                                                                                                                                                                                                                           111628-35     000036
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000000466271620MUCIO CARDOSO MONTEIRO                  AV JOAO PINHEIRO,271                    MONTE CARMELO                           38500000MG242610000202565663000382      23092009900BRADESCO S/A        0301201100000000003249000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-36     000037
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000065596595691RODRIGO NAVES MUNDIM                    ROD MG 190 KM 01,S/N                    MONTE CARMELO                           38500000MG24262000010256558200392       24092009900BRADESCO S/A        3011201000000000006957000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-37     000038
1028421003901COBR_CAUC_COR  COOP AGRICOLA DE MONTE CARMELO          000039409546672HENRIQUE PARANHOS CARDOSO               RUA DOM PEDRO II,,293                   MONTE CARMELO                           38500000MG242630000102565809000929      22102009900BRADESCO S/A        3011201000000000007314000CC                                                                                                                                                                                                                                                                                                                                                                                           111628-38     000039
9000038                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000040
