0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    16112011                                                                                                                                                                                                                                                                                                                                                                                                000001
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        063964118000150MAZZAFERRO IND E COM                    VIA ANCHIETA, S/N KM 18,0               SAO BERNADO DO                          09733000SP318330000309468746664-3       09112011038ABC                 2212201100000000019248078CC                                                                                                                                                                                                                                                                                                                                                                                           151597-5      000019
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     003879760000702ANCORA DISTRIBUIDORA LTDA               AV SENADOR ROBERT KENNEDY 1055          FORTALEZA                               18681030CE3183400001002774948553        09112011900BRADESCO S/A        1611201100000000015113249CC                                                                                                                                                                                                                                                                                                                                                                                           151597-6      000020
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     013633116000100GREAT BEEF ALIMENTOS LTDA               QD 912 SUL QIF AL 15 S/N LT 15 16 E 17  PALMAS                                  77023472TO3183500001002774868562        09112011900BRADESCO S/A        0812201100000000014399969CC                                                                                                                                                                                                                                                                                                                                                                                           151597-7      000021
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000043509819187REGINALDO JOSE COELHO                   RUA OLIVIO A RIBEIRO,68                 ITUMBIARA                               75503970GO31836000010274127514435       09112011800UNIBANCO S/A        0505201200000000011500000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-8      000022
1016421008591COBR_CAUC_BIC  GLOBOAVES SAO PAULO AGROAVICOLA LTD     061270393000148FRIGORIFICO MARBA LTDA                  AV CESAR MAGNANI,971                    S BERNANRDO CAM                         09694000SP318370000103229937070394      07112011038ABC                 1412201100000000010524200CC                                                                                                                                                                                                                                                                                                                                                                                           151597-9      000023
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             006059962000100USINA ITAPAGIPE ACUCAR E ALCOOL LT      AV. JOHN DALTO,301-LOTE 2 - TERREO      CAMPINAS                                13069330SP3187600001011293301209        18102011021CAMPINAS            0512201100000000002206500CC                                                                                                                                                                                                                                                                                                                                                                                           151597-10     000024
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             005553456000100USINA OUROESTE ACUCAR E ALCOOL LTD      AV. JOHN DALTO,301-BL B-CJ 11BA16B      CAMPINAS                                13069330SP3187700001011293481207        18102011021CAMPINAS            0512201100000000002895000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-11     000025
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP318780000101044148002527      01092011007PAULISTA            1611201100000000002607600CC                                                                                                                                                                                                                                                                                                                                                                                           151597-12     000026
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP318780000201058416002593      15092011007PAULISTA            0712201100000000002202000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-13     000027
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP318780000301061379002605      16092011007PAULISTA            0612201100000000002502000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-14     000028
